DESCRIPCION;MARCA;MODELO
GRASA SKF LGHP 2/18 PRESENTACION 18KG NUMERO DE PARTE7316571625560;SKF;S/M
LUBRICANTE Y SILICONE YAMALUBE 10.5OZ 298 GRAMOS PARTE NUMERO ACCSLCNSPRAY;YAMALUBE;S/M
1,700  CAJAS CONTENIENDO 20,400 UNIDADES DE 1 LITRO DE 2 STROKE ECONOMY  MOTOR OIL-12/1QT, ACEITES LUBRICANTES MARCA LION,;LION;TS-408
GRASA LUBRICANTE PUMA LITHIUM BRB-200-2 EP PARA APLICACIONES QUE OPERAN A CARGAS ELEVADAS, VELOCIDADES MEDIAS A ALTAS EN 24 CUBETAS DE 18 KGS CADA UNA, CODIGO: 5000488.;PUMA;S/M
GRASA LUBRICANTE MULTIPROPOSITO PARA SERVICIO PESADO DEL SECTOR AUTOMOTRIZ PUMA LITHCOM EP2 EN 48 CUBETAS DE 35LBS CADA UNA, CODIGO :5000146.;PUMA;S/M
GRASA LUBRICANTE PUMA VICTRIX HD 1400-2 DE ALTO DESEMPEÑO PARA SERVICIO PESADO, USADA PARA ALTA CARGA, VELOCIDAD Y FRICCION DE DESLIZAMIENTO, ESTA BASADA EN ACEITE MINERAL CON POLIMERO, USA TECNOLOGIA DE CALCIO ANHIDRIDO, EN CONJUNTO CON;PUMA;S/M
GRASA LUBRICANTE PUMA VICTRIX HD 1400-2 DE ALTO DESEMPEÑO PARA SERVICIO PESADO, USADA PARA ALTA CARGA, VELOCIDAD Y FRICCION DE DESLIZAMIENTO, ESTA BASADA EN ACEITE MINERAL CON POLIMERO, USA;PUMA;S/M
GRASA LUBRICANTE PUMA SUPREME SLS-400-2 EP PARA TRABAJO PESADO EN DIFERENTES APLICACIONES, EN 48 CUBETAS DE 18 KGS CADA UNA, CODIGO: 5000504.;PUMA;S/M
GRASA LUBRICANTES PUMA CALLIT GL 850-00 DE ALTO RENDIMIENTO PARA TRABAJOS PESADOS DISEÑADA PARA USARSE EN UNA GRAN VARIEDAD DE APLICACIONES DONDE PREVALECEN LAS CARGAS ALTAS, LAS VELOCIDADES;PUMA;S/M
GRASA LUBRICANTE PUMA SUPREME SLS-500-2 EPM5 PARA TRABAJO PESADO EN DIFERENTES APLICACIONES VELOCIDADES MEDIAS A ALTAS, TEMPERATURAS ELEVADAS, EN 96 CUBETAS DE 18 KGS CADA UNA, CODIGO:;PUMA;S/M
GRASA LUBRICANTE PARA MOTORES ELECTRICOS MULTIPROPOSITO DE SERVICIO PESADO E INDUSTRIALES PUMA LITHIUM EP2 EN 8 BARRILES DE 400LBS CADA UNA,                           CODIGO :5000149.;PUMA;S/M
GRASA LUBRICANTE PARA MOTORES ELECTRICOS MULTIPROPOSITO DE SERVICIO PESADO E INDUSTRIALES PUMA LITHIUM EP2 EN 8 BARRILES DE 400LBS CADA UNA,                           CODIGO :5000149.;PUMA;S/M
GRASA LUBRICANTE PARA MOTORES ELECTRICOS MULTIPROPOSITO DE SERVICIO PESADO E INDUSTRIALES PUMA LITHIUM EP2 EN 4 BARRILES DE 400LBS CADA UNA,                           CODIGO :5000149.;PUMA;S/M
GRASA LUBRICANTE PARA MOTORES ELECTRICOS MULTIPROPOSITO PARA SERVICIO PESADO E INDUSTRIALES PUMA LITHCOM EP2 EN 16 BARRILES DE 400LB CADA UNO,                                  CODIGO: 5000144.;PUMA;S/M
GRASA LUBRICANTE PARA MOTORES ELECTRICOS MULTIPROPOSITO PARA SERVICIO PESADO E INDUSTRIALES PUMA LITHCOM EP2 EN 4 BARRILES DE 400LB CADA UNO,                                  CODIGO: 5000144.;PUMA;S/M
GRASA LUBRICANTE PUMA SUPREME SLS-500-2 EPM5 PARA TRABAJO PESADO EN DIFERENTES APLICACIONES VELOCIDADES MEDIAS A ALTAS, TEMPERATURAS ELEVADAS, EN 16 BARRILES DE 180 KGS CADA UNA,;PUMA;S/M
GRASA LUBRICANTE PARA MOTORES ELECTRICOS MULTIPROPOSITO PARA SERVICIO PESADO E INDUSTRIALES PUMA LITHCOM MOLY EPM5 EN 4 BARRILES DE 400LB CADA UNO, CODIGO: 5000597.;PUMA;S/M
"0585; ACEITE LUBRICANTE OMEGA 585 AEROSOL ACEITE GRADO ALIMENTICIO PARA CADENA; UNIADDES DE 500ML";OMEGA;S/M
"0058C; GRASA OMEGA 58 PARA MAQUINARIA GRADO ALIMENTICIO S/M";OMEGA;S/M
ACEITE LUBRICANTE ND40 (25 TOTES DE 265 GALONES PARA UN TOTAL DE 6,625 GALONES , 25 TOTES DE 1003 LITROS C/U PARA UN TOTAL DE 25,075 LITROS);S/M;S/R
"TGN3PS13; TOPGUARD PSF 12/12OZ; 176 CAJAS CON 12 UNIDADES EN PRESENTACIÓN DE BOTELLAS DE 12 ONZAS";TOP GUARD;TOPGUARD PSF 12/12OZ
"TGN3PS13; TOPGUARD PSF 12/12OZ; 155 CAJAS CON 12 UNIDADES EN PRESENTACIÓN DE BOTELLAS DE 12 ONZAS";TOP GUARD;TOPGUARD PSF 12/12OZ
ACEITE T0010 HIDRAULICO;KOMATSU;1400502H2
ACEITE AX080 PARA TRANSMISION;KOMATSU;1400159H2
GRASA SUPER S MULTI PROPOSITO ROJO LITHIUM # 2 50/14 ONZAS,12 PAQUETE DE 5 CAJA CONTENIENDO 10 UND C/CAJA//SUS.LIGRS.5014.A61//SUS66-14;SUPER S;SUS66-14
GRASA SUPER S MULTI PROPOSITO ROJO LITHIUM # 2 50/14 ONZAS,PAQUETE DE 5 CAJA CONTENIENDO 10 UND C/CAJA//SUS.LIGRS.5014.A61//SUS66-14;SUPER S;SUS66-14
GRASA HI TEMP RED WHEEL BEARING GREASE 1 LB (453.6 GR) RED HI- TEMP//SUS77;SUPER S;SUS77
"HYD46221; UNO HYDRAULIC MVI 46 5AG-PAIL; 50 CUBETAS DE 5 GALONES";UNO;UNO HYDRAULIC MVI 46 5AG
"HYD68221; UNO HYDRAULIC MVI 68 5AG -PAIL; 84 CUBETAS DE 5 GALONES";UNO;UNO HYDRAULICMVI 68 5AG
"HYD68221; UNO HYDRAULIC MVI 68 5AG -PAIL; 168 CUBETAS DE 5 GALONES";UNO;UNO HYDRAULIC  MVI 68 5AG
"HYD46241; UNO HYDRUALIC MVI 46 55AG -DRUM; 8 BARRILES DE 55 GALONES";UNO;HYD46241
"HYD68241; UNO HYDRAULIC MVI 68 55AG-DRUM; 8 BARRILES DE 55 GALONES";UNO;UNO HYDRAULIC
"HYD68241; UNO HYDRAULIC MVI 68 55AG-DRUM; 8 BARRILES DE 55 GALONES";UNO;UNO HYDRAULIC MVI 68 55AG
"HTF221; UNO HTF P5X1 AG-PAIL; 126 CUBETAS DE 5 GALONES";UNO;UNO HTF P5X1 AG
"HTF221; UNO HTF P5X1 AG-PAIL; 84 CUBETAS DE 5 GALONES";UNO;UNO HTF P5X1 AG
"UPN6DMPL; UNO SYNCHRON FSMV 127Q; 84 CAJAS CON 12 UNIDADES EN PRESENTACIÓN DE 1 LITRO";UNO;UNO SYNCHRON FSMV 127Q
"HTF241; UNO HTF D55X1 AG-DRUM; 4 BARRILES DE 55 GALONES";UNO;UNO HTF D55X1 AG
GRASAS LUBRICANTES, UNO AXXIS EXTREME PRESSURE #2 GREASE 35 LB (RED) UNO.HTGRS.1035.061 / CUST. CODE: SSI/33936;UNO;UNO.HTGRS.1  035.061
GRASAS LUBRICANTES, UNO AXXIS EXTREME PRESSURE #2 GREASE 120 LB (RED) UNO.HTGRS.1120.060 / CUST. CODE: SSI/33935;UNO;UNO.HTGRS.1  120
GRASAS LUBRICANTES, UNO AXXIS EXTREME PRESSURE #2 GREASE 400 LB (RED) UNO.HTGRS.1400.072;UNO;UNO.HTGRS.1 400.072
GRASAS LUBRICANTES, UNO AXXIS MOLY #2 GREASE 400 POUND UNO.MPGRS.1400.132 / CUST. CODE: AXXMOLY2408;UNO;UNO.MPGRS.1  400
ACEITE LUBRICANTE MINERAL (OIL 55 GAL VILTER R717) 4 BARRILES, CADA BARRIL CONTIENE 55 GALONES, PARA COMPRESOR DE EQUIPO DE REFRIGERACION P/N: 2939B;VILTER;P/N: 2939B
ACEITE PENETRANTE, JAX America's Finest Penetrating Oil (Aerosol) 12 Lb.;JAX;JAX101
ACEITE PENETRANTE. JAX Food Grade Penetrating Oil (Aerosol) 12 lb;JAX;JAX109
LUBRICANTE PARA PASADORES Y BUJES DE TRANSMISIÓN POR CADENA, JAX Chain Drive Pin & Bushing Lube (Aerosol) - 12 Lb.;JAX;JAX102E.FSP  
ACEITES ESPECIALES, JAX Belt Dressing (Aerosol) 12 Lb.;JAX;JAX107
ACEITE DE CILINDRO, JAX CYLINDER OIL-FG 35 Lb.;JAX;02500-035
Lubricantes para cadenas y transportadores, JAX TROLLEY-GLIDE FG-3H. 5 Gal.;JAX;TGFG3H-005
LUBRICANTE DE CADENA, JAX SUPER-CLING CHAIN OIL W/PTFE, 35 Lb.;JAX;00205-035
ACEITE LUBRICANTE PARA ENGRANAJE , M - 600W SUP CYL OIL ST EN 1 BARRIL DE 55 GALONES, COD: 110032;MOBIL;S/M
ACEITE LUBRICANTE PARA ENGRANAJE , M - 600W SUP CYL OIL ST EN 12 CUBETAS DE 5 GALONES CADA UNA, COD: 101923;MOBIL;S/M
"ACEITE LUBRICANTE, REBLEND MIX OIL; 6,087.00 GALONES =23,039.29 LTS;1041306";PHILLIPS 66;S/M
"ACEITE LUBRICANTE, REBLEND MIX OIL; 6,090.00 GALONES =23,050.65;1041306";PHILLIPS 66;S/M
"ACEITE LUBRICANTE, REBLEND MIX OIL; 6,042.00 GALONES =22,868.97;1041306";PHILLIPS 66;S/M
"ACEITE LUBRICANTE, REBLEND MIX OIL; 6,118.00 GALONES =23,156.63 LTS;1041306";PHILLIPS 66;S/M
"ACEITE LUBRICANTE, REBLEND MIX OIL; 5,925.00 GALONES =22426.12 LTS;1041306";PHILLIPS 66;S/M
ACEITE MINERAL, JAX Magna-Plate 78 (Aerosol) 12 lb;JAX;JAX114
GRASA, JAX HALO-GUARD FG-2. 35 Lb.;JAX;HLG02-035
GRASA, JAX HALO-GUARD FG-2. 50 Lb.;JAX;HLG02-050
GRASA, JAX HALO-GUARD FG-LT 50 Lb.;JAX;HLGLT-050
"550053426; HELIX HX5 SN 20 W-50 1 * 209 L";SHELL;S/M
"550029929; SHELL SPIRAX S2 A 85 W-140 1 * 55 UGL";SHELL;S/M
"550047002; SHELL RIMULA R5 LE 10 W-40 1 * 209 L";SHELL;S/M
LUBRICANTE PARA MOTOS EN GOTERO / 4 OZ;MAXIMA;69-01904
ACEITE PARA BARRAS DE MOTOS 7 WT / 16 OZ;MAXIMA;55-55916
ACEITE PARA BARRAS DE MOTOS 3 WT / 16 OZ;MAXIMA;55-53916
ACEITE PARA BARRAS DE MOTOS 5 WT  / 16 OZ;MAXIMA;55-54916
ACEITE PARA BARRAS DE MOTOS 7 WT / 16 OZ;MAXIMA;55-55916
ACEITE PARA BARRA DE MOTOS 7WT  /  1 LTR;MAXIMA;59901-7
ACEITE PARA BARRA DE MOTOS 5WT  /  1 LTR;MAXIMA;59901-5
GRASA ROJA PARA MOTOS / 16OZ;MAXIMA;69-02916
5 TOTES DE STYLET OIL 97 %, ACEITE MINERAL BLANCO DE USO AGRICOLA COADYUVANTE-HIDROCARBURADO UTILIZADO PARA EL CONTROL DE PLAGA EN USO AGRICOLA , ( CADA TOTE CONTIENE O SON DE PRESENTACION DE 1,040.28 LITROS, Y SON 5 TOTES EN TOTAL, PARA UN TOTAL;JMS FLOWER FARMS, INC/;STYLET OIL 97 % / 1,040.28 LITROS
"PM2801-20 -1; PM2801-20 ACEITE LUBRICANTE PARA SISTEMAS HIDRAULICOS 220 20 LITROS X PICHINGAS ) MANNOL";PEMCO;S/M
"PM2801-DR-1; ACEITE LUBRICANTE PARA SISTEMAS HIDRAULICOS, BARRIL DE 208 LITROS";PEMCO;S/M
"PM0548-1-1; ACEITE DE TRANSMISION IPOID 548, CAJA CON 20 UNIDADES DE 1 LITRO CADA CAJA";PEMCO;S/M
"PM0114-7-1; ACEITE LUBRICANTE PARA MOTOR PEMCO IDRIVE 114 , CUBETA DE 7 LITROS";PEMCO;S/M
LUBRICANTES PARA MAQUINA TEXTIL(ISOFLEX PDP 65 6X 1LT);S/M;S/M
LUBRICANTE( OLIVE MVS-36 (FINISHING LIQUID) (20L);S/M;S/M
"ACEITE LUBRICANTE; TEXHONG337";SAURER;LS0FLEX PDP65
"GRASA LUBRICANTE; TEXHONG338";SAURER;BQH72-102
ACEITE RUBIA SX 50 API SF/CF LUBRICANTE MINERAL ADECUADO PARA CIRCUITOS HIDRAULICOS, MOTORES Y CAJAS DE CAMBIO DE CAMIONES, CUBETA (19L), 1 BULTO CON 45 CUBETAS DE 19L LOTE: ENVASADO 00KB4548 LOTE: 00FB2535;TOTALENERGIES;S/M
LUBRICANTE - P.O.: WJS001131, STAMINA RL2 160KG;S/M;S/M
LUBRICANTE - P.O.: WJS001131, PEBREMCO CC 18L;S/M;S/M
MULTILEC INDUSTRIAL OIL, ACEITE PARA USO INDUSTRIAL.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA;LE XPORT;6803-PL
QUINPLEX H1 PENETRATING LUBE, ACEITE Y LUBRICANTE.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA.;LE XPORT;4058-PL
DUOLEC INDUSTRIAL GEAR OIL, LUBRICANTE MULTIPROPOSITO.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;1606-PL
H1 QUINPLEX WHITE GEAR LUBE, LUBRICANTE MULTIPROPOSITO.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;4140-PL
ALMAPLEX INDUSTRIAL LUBRICANT, LUBRICANTE INDUSTRIAL.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;1275-PL
H1 QUINPLEX WHITE OIL, ACEITE PARA USO INDUSTIAL.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA;LE XPORT;4010-PL
H1 QUINPLEX WHITE OIL, ACEITE PARA USO INDUSTIAL.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA;LE XPORT;4020-PL
H1 QUINPLEX WHITE OIL, ACEITE PARA USO INDUSTIAL.- EN PRESENTACION DE CUBETA DE 18.9 LITROS CADA UNA.;LE XPORT;4030-PL
ALMASOL HIGH TEMP LUBRICANT, LUBRICANTE MULTIPROPOSITO.- CAJA CONTENIENDO 40 TUBOS DE 14.1 ONZAS.;LE XPORT;1250-CST
MONOLEC SYNTHETIC IND OIL, ACEITE LUBRICANTE.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA.;LE XPORT;9100-PL
H1 QUINPLEX FOOD MACH. LUBE, LUBRICANTE MULTIPROPOSITO.- CAJA CONTENIENDO 40 TUBOS DE 14.1 ONZAS.;LE XPORT;4025-CST
XPORT FLEX 125 COMP, GRASA LUBRICANTE.- CADA CAJA CONTENIENDO 10 UNIDADES.;LE XPORT;LEX-FLEX125-  COKT
"03504911; GRASA SURTAC 2000 XD";SURTAC;SURTAC 2000 XD
ACEITE HIDRAULICO POWER STEER, LUBRICANTES PUMA POWER STEER FLUID (12 ONZ.) PARTE NUMERO 5000069, Caja de 24 unidades de 12 oz, PRESENTACION: Botella Plástica DE 12 oz, CODIGO:5000069;PUMA;S/M
PUMA HD SUPER//ACEITE LUBRICANTE PARA MOTORES//REFER:40/LOTE:36082/FECHA DE ENVASADO:01/07/2022// PRESENTADA EN 1 PALETA DE 72 CAJAS DE 3Und DE BOTELLA PLASTICA DE;PUMA;S/M
PUMA HD SUPER//ACEITE LUBRICANTE PARA MOTORES//REFER:50/LOTE:50801/FECHA DE ENVASADO:07/10/2021// PRESENTADA EN 1 PALETA DE 72 CAJAS DE 3Und DE BOTELLA PLASTICA DE;PUMA;S/M
PUMA HD SUPER//ACEITE LUBRICANTE//REFER:40// PRESENTADA EN 1 PALETA DE 42 CAJAS DE 12Und DE BOTELLA PLASTICA DE 1QT/946ml, NUMERO PARTE 5000063;PUMA;S/M
GRASA LUBRICANTE LITHIUM EP2-L, PUMA LITHIUM EP2 (LIBRA),GC-LB PARTE NUMERO 5000156, Caja de 24 unidades 454 gramos, PRESENTACION: Taza Plástica DE 454 gramos, CODIGO: 5000156;PUMA;S/M
GRASA LUBRICANTE LITHIUM EP2-C, PUMA LITHIUM EP2 (CUBETA),GC-LB PARTE NUMERO 5000151, Cubeta, PRESENTACION: Cubeta Plástica DE 35 libras, CODIGO: 5000151;PUMA;S/M
MONOLEC R&O COMPRESSOR/TURBINE, ACEITE PARA COMPRESOR Y TURBINAS.- EN PRESENTACION DE CUBETAS DE 18.9 LITROS CADA UNA;LE XPORT;6401-PL
MONOLEC R&O COMPRESSOR/TURBINE, ACEITE PARA COMPRESOR Y TURBINAS.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA;LE XPORT;6404-PL
DUOLEC INDUSTRIAL GEAR OIL, LUBRICANTE MULTIPROPOSITO.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;1606-PL
DUOLEC INDUSTRIAL GEAR OIL, LUBRICANTE MULTIPROPOSITO.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;1607-PL
ALMAPLEX INDUSTRIAL LUBRICANT, LUBRICANTE INDUSTRIAL.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;1275-PL
H1 QUINPLEX WHITE GEAR LUBE, LUBRICANTE MULTIPROPOSITO.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;4140-PL
H1 QUINPLEX WHITE OIL, ACEITE PARA USO INDUSTIAL.- EN PRESENTACION DE CUBETA DE 18.9 LITROS CADA UNA.;LE XPORT;4030-PL
ALMAPLEX INDUSTRIAL LUBRICANT, LUBRICANTE INDUSTRIAL.- CAJA CONTENIENDO 40 TUBOS DE 14.1 ONZAS.;LE XPORT;1275-CST
DUOLEC SYN GEAR LUBRICANT, LUBRICANTE MULTIPROPOSITO.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;9832-PL
H1 QUINPLEX FOOD MACH LUBE, LUBRICANTE MULTIPROPOSITO.- CAJA CONTENIENDO 40 TUBOS DE 14.1 ONZAS.;LE XPORT;4025-CST
VAL CERULEAN #2 GRS 50/14.1 OC. GRASA LUBRICANTE CERULEAN #2, PARA MAQUINARIA INDUSTRIAL. PRESENTACION: ENVASE DE 400 GRAMOS/14.1 OZ. EN CAJAS DE 50 ENVASES DE 14.1 OZ. REF. VV70133;VALVOLINE;VV70133
VAL CERULEAN #2 GRS PL 35 LB. GRASA LUBRICANTE CERULEAN #2, PARA MAQUINARIA INDUSTRIAL. EN PRESENTACION: EN CUBETAS DE 35 LIBRAS. REF. VV70132;VALVOLINE;VV70132
VAL CRIMSON #2GRS 50/14.1 OC. GRASA LUBRICANTE CRIMSON #2, CONTIENE ADITIVOS DE EXTREMA PRESION PARA PROTEGER Y LUBRICAR . PROPORCIONA UN EXCELENTE RENDIMIENTO. COLOR ROJA PARA FACIL IDENTIFICACION. PRESENTACION: ENVASES DE 400GRAMOS/14.1 OZ.;VALVOLINE;VV70124
"08394050300; GRASA LUBRICANTE, HELIOS GREASE EP#2 AZUL 3 KG; 400 UNIDADES";HELIOS;S/M
"0904173639; GRASA KRONES CELEROL 7007 ,PARTE NO ACTUAL: 0-902-81-315- 2 ,PARTE ANTERIOR: 0-904-17-363-9 ,PRESENTACION:CARTUCHO DE 500G ,TABLA KRONES :30-16";KRONES;KRONES MANUFACTUR E
"0904173452; GRASA KRONES CELEROL L7003 ,NO DE PARTE 0-901-85-614-8 ,NO DE PARTE ACTUAL :0-904-17-345-2 ,PRESENTACION : CARTUHO 500G TABLA KRONES :30-09";KRONES;KRONES MANUFACTUR E
"0904173264; GRASA KRONES CELEROL L7001 ,PARTE NO:0-902-02-371-5 ,PRESENTACION : CARTUCHO DE 650G ,TABLA KRONES :30-06";KRONES;KRONES MANUFACTUR E
"PLNH3; ACEITE LUBRICANTE PRIVATE LABEL MAYEKAWA MYCOM, MYCOLD- NH3, ACEITE PARA COMPRESORES SISTEMAS DE REFRIGERACIÓN CON AMONIACO, LUBRICANTE MAYEKAWA PARA BAJAS TEMPERATURA, PRESENTADO ENVASADO EN BARRIL CON 55 GALONES (208";MAYEKAWA;S/M
GRASA LITICA LUBRICANTE EP 2 CARTUCHO DE-400 GRS // SON 115,200 GRAMOS/ 144 cajas que hace un total de 1382.4 litros o sea que 1 caja de 24 tubos de grasa es igual a 9.60 litros;REPSOL;S/M
GRASA CERAN XM 220 TUBO (0.42K), 32 CAJAS, 24 UNIDADES POR CAJA, PARTE NUMERO 179304;TOTALENERGIES;S/M
GRASA MULTIS COMPLEX EP 2 CUBETA (18K), 32 CUBETAS, 18K POR CUBETA, PARTE NUMERO 140071;TOTALENERGIES;S/M
GRASA CERAN XM 220 CUBETA (18K), 16 CUBETAS, 18K POR CUBETA, PARTE NUMERO 177040;TOTALENERGIES;S/M
GRASA CERAN XM 220 BARRIL (180K), 12 BARRILES, 180K POR BARRIL, PARTE NUMERO 176269;TOTALENERGIES;S/M
LUBRICANTE Y SILICONE YAMALUBE 10.5OZ 298gramos PARTE NUMERO ACCSLCNSPRAY;YAMALUBE;S/M
ACEITE LUBRICANTE DE CADENA YAMALUBE 12 OZ, 340G PARTE NUMERO ACCCHAINOFAA, 02 CAJA DE 12 UNIDADES C/U;YAMALUBE;S/M
ACEITE LUBRICANTE DE CADENA YAMALUBE 12 OZ, 340G PARTE NUMERO ACCCHAINOFAA, 02 CAJA DE 12 UNIDADES C/U;YAMALUBE;S/M
20 PALETAS CONT. 1,680 CAJAS PARA UN TOTAL DE 20,160 UNIDADES DE LITROS DE ACEITE LUBRICANTE 2 STROKE ECONOMY MOTOR OIL 12/1QT CAJA DE 12 LITROS CADA UNA CADA PALETA CONT 84 CAJAS;LION;TS-508
ACEITES HIDRAULICOS, CAJAS DE 12 LITROS DE ACEITES HIDRAULICOS MARCA RALOY, P6353 TRANSFLUID RDX-III BOTELLA APLICADOR CJ/12UND ETIQ. THERMO PRESENTACION: 1 LITRO TOTAL: 1008 LITROS;RALOY;S/M
GRASA LUBRICANTE MULTIPROPOSITO DE SERVICIO PESADO AUTOMOTRIZ PUMA LITHIUM EP 2 EN 48 CUBETAS DE 35 LBS CADA UNA, CODIGO :5000151.;PUMA;S/M
GRASA LUBRICANTE MULTIPROPOSITO DE SERVICIO PESADO AUTOMOTRIZ PUMA LITHIUM EP 2 EN 36 CUBETAS DE 35 LBS CADA UNA, CODIGO :5000151.;PUMA;S/M
GRASA LUBRICANTE PARA MOTORES ELECTRICOS MULTIPROPOSITO DE SERVICIO PESADO E INDUSTRIALES PUMA LITHIUM EP2 EN 8 BARRILES DE 400LBS CADA UNA,                           CODIGO :5000149.;PUMA;S/M
GRASA LUBRICANTE PARA MOTORES ELECTRICOS MULTIPROPOSITO PARA SERVICIO PESADO E INDUSTRIALES PUMA LITHCOM EP2 EN 4 BARRILES DE 400LB CADA UNO,                                  CODIGO: 5000144.;PUMA;S/M
GRASA LUBRICANTE PARA MOTORES ELECTRICOS MULTIPROPOSITO DE SERVICIO PESADO E INDUSTRIALES PUMA LITHIUM EP2 EN 4 BARRILES DE 400LBS CADA UNA,                           CODIGO :5000149.;PUMA;S/M
GRASA LUBRICANTE PARA MOTORES ELECTRICOS MULTIPROPOSITO PARA SERVICIO PESADO E INDUSTRIALES PUMA LITHCOM MOLY EPM5 EN 8 BARRILES DE 400LB CADA UNO, CODIGO: 5000597.;PUMA;S/M
ACEITE  LUBRICANTE  PREMIUN   PARA COMPRESORES   EN  06 BARRILES CONTENIENDO C/U  55 GALONES    TOTAL EN LITROS ( 1,249.19  LITROS ) VILTER      PARTE  NUMERO  : 2939B , ACEITE 55 GAL VILTER R717 /  2 PALETA CONTENIENDO  6 BARRILES METALICO  / 717 -OIL;VILTER;R717
"UPN6DMPL; UNO SYNCHRON FSMV 127Q; 84 CAJAS CON 12 UNIDADES EN PRESENTACIÓN DE 1 LITRO";UNO;UNO SYNCHRON FSMV 127Q
"GRASA LUBRICANTE; GRASA LUBRICANTE; M920001680";S/M;S/M
ACEITE PARA SISTEMA HIDRAULICO , M - DTE HVY MED ST, EN 26 BARRILES DE 55 GALONES CADA UNO , CODIGO: 104817.;MOBIL;S/M
640 CAJAS CONTENIENDO SUPER S STEERING FLUID 12/1 QUART SUS.PSF.1232.A71 / CUST. HECHO EN USA;SUPER S;SUS30
"550029929; SHELL SPIRAX S2 A 85 W-140 1 * 55 UGL; TOTAL EN LITROS 833";SHELL;S/M
"550047002; SHELL RIMULA R5 LE 10 W-40 1 * 209 L; TOTAL EN LITROS 836";SHELL;S/M
"ACEITE LUBRICANTE PARA AIRE ACONDICIONADO- R-134A -PRESENT. 8 OZ- 237 ML - PAG100; RO0901B";SUPER S;PAG100
"ACEITE LUBRICANTE PARA AIRE ACONDICIONADO R134A PRESENT.8 OZ-237 ML - PAG46; RO0900B";SUPER S;PAG46
GRASA LUBRICANTE MULTIPROPOSITO PARA SERVICIO PESADO DEL SECTOR AUTOMOTRIZ PUMA LITHCOM EP2 EN 48 CUBETAS DE 35LBS CADA UNA, CODIGO :5000146.;PUMA;S/M
GRASA SUPER S BLUE EP2 HTP GREASE 50/14 OZ. SUS HD10.1005.A77/CUST. CODE: SUS201;SUPER S;SUS201
GRASA LUBRICANTE MULTIPROPOSITO DE SERVICIO PESADO AUTOMOTRIZ PUMA LITHIUM EP 2 EN 48 CUBETAS DE 35 LBS CADA UNA, CODIGO :5000151.;PUMA;S/M
MULTILEC INDUTRIAL OIL, ACEITE PARA USO INDUSTRIAL.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA;LE XPORT;6803-PL
H1 QUINPLEX WHITE GEAR LUBE, LUBRICANTE MULTIPROPOSITO.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;4141-PL
ALMAPLEX INDUSTRIAL LUBRICANT, LUBRICANTE INDUSTRIAL.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;1275-PL
H1 QUINPLEX WHITE OIL, ACEITE PARA USO INDUSTIAL.- EN PRESENTACION DE CUBETA DE 18.9 LITROS CADA UNA.;LE XPORT;4030-PL
ALMASOL HIGH TEMP LUBRICANT, LUBRICANTE MULTIPROPOSITO.- CAJA CONTENIENDO 40 TUBOS DE 14.1 ONZAS.;LE XPORT;1250-CST
ALMAPLEX INDUSTRIAL LUBRICANT, LUBRICANTE INDUSTRIAL.- CAJA CONTENIENDO 40 TUBOS DE 14.1 ONZAS.;LE XPORT;1275-CST
H1 QUINPLEX FOOD MACH. LUBE, LUBRICANTE MULTIPROPOSITO.- CAJA CONTENIENDO 40 TUBOS DE 14.1 ONZAS.;LE XPORT;4025-CST
H1 QUINPLEX FOOD MACH. LUBE, GRASAS.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KGS CADA UNA.;LE XPORT;4022-PL
PUMA HD SUPER//ACEITE LUBRICANTE PARA MOTOR//REFER:50/LOTE:28182//FECHA DE ENVASADO:20/05/2022// PRESENTADA EN 1 PALETA DE 72 CAJAS DE BOTELLA PLASTICA DE;PUMA;S-M
