DESCRIPCION;MARCA;MODELO
ACEITE PARA MOTOR, TAMBOR DE 200 LITROS, No.1 ENGINE OIL, REFERENCIA: 74512251BR;PETRONAS;S/M
GRASA MULTIPROPOSITO, BALDE DE 20 KG, MULTI-PURP 251H EP, LOTE: D472L040, ORDEN: 6030254, FECHA: 10/12/2019,  REFERENCIA: 76148R41BR;PETRONAS;S/M
GRASA MULTIFUNCIONAL,  MULTI-PURP 251H EP- DE 24 UNIDADES DE 1 KILO CAD UNO, LOTE: D472L041, FECHA: 10/12/19, ORDEN: 6030255, AMP 1654, REFERENCIA: 76148EY9BR;PETRONAS;S/M
REBLEND MIX LUBRICANTE PARA MOTOR 5,944 GALONES CONTENIDOS EN FLEXITANK O FLEXITANQUE;PHILLIPS 66;1041306
0.425 KG TARRO GRASA BAT 3 CJ:50 0%;ROSHFRANS;273
0.425 KG TARRO GRASA JUNTAS HOMOCINETICAS CJ:30 0%;ROSHFRANS;738
0.400 KG TUBO DE GRASA BALIT COMPLEX PLUS CJ:30 0%;ROSHFRANS;1224
0.850 KG TARRO GRASA BAT 3 7501390502745 CJ:30 0%;ROSHFRANS;274
MONOLEC ULTRA ENGINE OIL - EN PRESENTACION DE CUBETAS CONTENIENDO 18.9 LITROS CADA UNA.;LE XPORT;8800-PL
MONOLEX PENETRATING OIL & LUBE - CAJA CONTIENE 12 FRASCOS AEROSOL DE 12 ONZAS.;LE XPORT;2059-CSA
H1 QUINPLEX PEN. OIL & LUBE - CAJA CONTIENE 12 FRASCOS AEROSOL DE 12 ONZAS.;LE XPORT;4059-CSA
MONOLEC R&O COMPRESSOR/TURBINE - EN PRESENTACION DE CUBETAS DE 18.9 LITROS CADA UNA.;LE XPORT;6401-PL
MONOLEC R&O COMPRESSOR/TURBINE - EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA.;LE XPORT;6403-PL
MONOLEC R&O COMPRESSOR/TURBINE - EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA.;LE XPORT;6404-PL
MONOLEC R&O COMPRESSOR/TURBINE, ACEITE PARA COMPRESOR Y TURBINAS.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA;LE XPORT;6404-PL
MONOLEC R&O COMPRESSOR/TURBINE, ACEITE PARA COMPRESOR Y TURBINAS.- EN PRESENTACION DE CUBETAS CONTENIENDO 18.9 LITROS CADA UNA.;LE XPORT;6405-PL
MULTILEC INDUSTRIAL OIL - EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA.;LE XPORT;6803-PL
DUOLEC INDUTRIAL GEAR OIL - EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA.;LE XPORT;1607-PL
DUOLEC INDUSTRIAL GEAR OIL, LUBRICANTE MULTIPROPOSITO.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;1605-PL
JHN PENETRATING OIL, STD PKG: 10OZ, PER CASE: 12 // ACEITE PENETRANTE AEROSOL 10OZ/284G CJA 12;JOHNSEN´S;4602
JHN WHITE LITHIUM GREASE, STD PKG: 11OZ, PER CASE: 12 // GRASA BLANCA LITIO AEROSOL 11OZ/312G CJA 12;JOHNSEN´S;4604
"L112ES; ASP; ACEITE SUPER PENETRANTE, AFLOJATODO AEROSOL 11OZ/311G CJA 12";LIQUID WRENCH;L112ES
ACEITE DE BOMBA DE VACIO;TGM;BVA235Q
a base 100% de destilados de petróleos, fracción naftica pesada tratada con hidrogeno, color medio amarillento.-Presentación: 2 bultos (bolsas flexibles) equivalentes a 42.093 T/M;S/M;S/M
a base mezclas de aceites parafinicos, refinados. Presentación: 20 paletas conteniendo 80 barriles de 200 kgs.c/u equivalentes a 16.000 T/M;S/M;S/M
"LUBRICANTE FLUIDE XLD FE LITRO; 10 CAJAS, 12 UNIDADES POR CAJA, PARTE NUMERO 213821";TOTALENERGIES;S-M
LUBRICANTE CADENA YAMALUBE 12 OZ 340G PARTE NUMERO ACCCHAINOFAA;YAMALUBE;S-M
LUBRICANTE CADENA YAMALUBE 12 OZ 340G PARTE NUMERO ACCCHAINOFAA;YAMALUBE;S-M
LUBRICANTE CADENA YAMALUBE 12 OZ 340G PARTE NUMERO ACCCHAINOFAA;YAMALUBE;S-M
ACEITE ENGRANAJE MARINO YAMALUBE 10 OZ PARTE NUMERO ACCGEARLUB10;YAMALUBE;S-M
LUBRICANTE CADENA YAMALUBE 12 OZ 340G PARTE NUMERO ACCCHAINONAA;YAMALUBE;S-M
LUBRICANTE CADENA YAMALUBE 12 OZ 340G PARTE NUMERO ACCCHAINONAA;YAMALUBE;S-M
GRASA MARINA YAMAHA A PRUEBA DE AGUA 250 PARTE NUMERO 9089069911;YAMALUBE;S-M
ACEITE PARA MOTOR, CUBETA DE 05 GALONES, 240 CUBETAS DE 05 GALONES = 1200 GALONES, TOTAL LITROS : 4,542.494 LITROS, REF# TY26801;JOHN DEERE;TY26801
ACEITE LUBRICANTE PARA ENGRANAJES BO/REL M08765084, -24 CUBETAS DE 5 GALONES = 120 GALONES, TOTAL LITROS : 454.249 LITROS, REF.# TY26816;JOHN DEERE;TY26816
"331143KA0A; 331143KA0A / US- SELL/ACEITE PI&ION / NO-SEAL-OIL,DRIVE PINIO SERIAL 477599";NISSAN;331143KA0A
"550026752; SHELL AIR TOOL OIL S2 A 100 1*55 GALONES BARRILES DE 55 GALONES";SHELL;550026752
GRASA LUBRICANTE PARA MOTORES ELECTRICOS MULTIPROPOSITO DE SERVICIO PESADO E INDUSTRIALES , PUMA LITHIUM EP2, EN 42 CAJAS DE 24 TARROS DE 1 LBS CADA CAJA , CODIGO :5000156.;PUMA;S/M
GRASA LUBRICANTE MULTIPROPOSITO DE SERVICIO PESADO AUTOMOTRIZ , PUMA LITHIUM EP 2, EN 48 CUBETAS DE 35 LBS CADA UNA, CODIGO :5000151.;PUMA;S/M
GRASA LUBRICANTE MULTIPROPOSITO DE SERVICIO PESADO AUTOMOTRIZ , PUMA LITHIUM EP 2, EN 36 CUBETAS DE 35 LBS CADA UNA, CODIGO :5000151.;PUMA;S/M
GRASA LUBRICANTE MULTIPROPOSITO PARA SERVICIO PESADO DEL SECTOR AUTOMOTRIZ, PUMA LITHCOM EP2, EN 48 CUBETAS DE 35LBS CADA UNA, CODIGO :5000146.;PUMA;S/M
GRASA LUBRICANTE MULTIPROPOSITO PARA SERVICIO PESADO DEL SECTOR AUTOMOTRIZ, PUMA LITHCOM EP2, EN 48 CUBETAS DE 35LBS CADA UNA, CODIGO :5000146.;PUMA;S/M
GRASA LUBRICANTE MULTIPROPOSITO PARA SERVICIO PESADO DEL SECTOR AUTOMOTRIZ, PUMA LITHCOM EP2, EN 36 CUBETAS DE 35LBS CADA UNA, CODIGO :5000146.;PUMA;S/M
GRASA LUBRICANTE MULTIPROPOSITO PARA SERVICIO PESADO DEL SECTOR AUTOMOTRIZ , PUMA LITHCOM EP2, EN 74 CUBETAS DE 35LBS CADA UNA, CODIGO :5000146.;PUMA;S/M
GRASA LUBRICANTE PARA MOTORES ELECTRICOS MULTIPROPOSITO DE SERVICIO PESADO E INDUSTRIALES, PUMA LITHIUM EP2, EN 4 BARRILES DE 400LBS CADA UNA, CODIGO :5000149.;PUMA;S/M
